source_name,source_job_id,job_fingerprint,title,company_name,location_city,location_country,posting_date,source_url
careerjet,,32f53fbaa6a378029487a631d779eb9d3b06106fc99d0556ae74e8dc428c4497,RCM Electrical Engineer | Saudi Arabia,Hudson Manpower,Al Jubayl,Ash Sharqiyah,,https://jobviewtrack.com/v2/D8Y5rUt0qyQslZaTZTpdfiiH4gjjbwNFUxngYS79UEAl-buZxJX-NpGxtba5uMbI1Roc-N4FzKr5JDeLu-i5Piiu08LoXpjS2NWVmJuzq_V5yiA3vXwQeEzY3dn9GKNBMrCZZUfED6gGKwv11mIZsRCKVQ1tJe7DtIKUAKgvKWBl0HizAwwK05BJgWwnkDVDcVJgi2rVaZ84vm06yEeaVw
careerjet,,66329b4dd0b7e5b0ec4c6c9cef8164a0e76147fff32f394b395800e891d71b8c,Information Technology Instructor,Gadget Express,Riyadh,,,https://jobviewtrack.com/v2/bOPbEfPXp03pBIUwKrgy2EhNj0Td1Ji1KHNCtt8N3wqbavEDQUMXuiSXa8CpMgs984EQz7Y4xypeWn9WlMHXNbef1eVvBGQ9FFwoaIsZ4Ax33jXT0-8pQYdfQbrEJRPhvkwrgodvZYulBvlvyzoRmAuAyXlEcxtXf0IJ9B598f27qNVeOkmwRDXh-PKPnUqFTb0tfp1A1N0iiOfQ2Czpsg
careerjet,,2a214aa87d6790f446b40306899e9ddf699f63ef0855f2806f5799a9c5052bb2,"Director - Retail Asset Management | Dammam, Saudi Arabia | Real Estate",Mindfield Resources,Dammam,Ash Sharqiyah,,https://jobviewtrack.com/v2/7EePfZXXKQCVUFNwaAK04IKnTErvnsObiSgOEW4YZNjC6QrF2AfXx9bG1NUaeyOPhZBTTvY5gYAh5pPbWJOAYb9oUSmY7Gjih5apE5-rkzIvBS5EHC9PxNND7fN8v1UaiblkMqqEGVL119datqfkPDXF8LPim43EJM9-anj4w-t7l1KK6OpzDnnG1qRPcDgQG6jUyyLq0fRoi0SOKQLXRg
careerjet,,7e1d10aa4a19e57f6be56f4c9cedeb09773f2612366d7b3fc4a6965df43a9aed,Lighting and AV Engineer,AECOM,Riyadh,,,https://jobviewtrack.com/v2/A_-lcUpEVJvGSG79Nx-E-oFaTqrRmcUmz3NeTpf6hGgETlGfLiVUJbQgEbequ_ily21edh01exNjw7rzqaLO07Tx_7QiBjkPG5gV696nzbA0YEqLJJO_uwxJSKNyHYCIagGhlbbmB6VCdRF2ltfyYuGQFAEWBOBwZfHCX5DDNJAgM3YjrOJXQ7RwPZosIQpvRXokwfzNkurh_E35HvDgfQ
careerjet,,f55b389277ddf5eb5750fb112935fc6a9833cc59c81ffd38b30cf8281f8c8e54,Taxi Driver - KSA,2coms,Makkah,,,https://jobviewtrack.com/v2/wkEne4SMYAzlFq-49mWKCR5k_W2xIvv9Iz9Gq7wW386j9lWmhRQlvFAj8h9F5HHenySc2nySA0Xu5YIWzb8tinzN4cXxNf3fwnuY3bElilomJyDEO1wAppVTlnXs9cxLcg1UiaJO-LKjj0bkaksMg6NqhPYDBGpLeAK2DBERyUEONsNJOH3IhxXwot2fckptcm3CyAUl_xt8KUaIzSHNrg
careerjet,,a1952f71a29dbeb0117a9da39cac333b7672ff0fa61908db591ccb96ebc6647f,Materials Inspector - Construction Quality Control,AECOM,Riyadh,,,https://jobviewtrack.com/v2/aFsdXsGLxU0baHf_dcGZg7ShW5k3uhMpTWPgs6j9eMKfhfzKPiLOg9SyjVX0yrAmWLm3jcpJBNBkV4tkiTWtA55vqNOT8jOb7WEMQF_Nc7bPadZaqZfKFOLNV7QBpabM_Rr9ZvCY5umjatHkfPIr2Tq3vQmTgv4Pb3hcDTP2CgRyDpmsLcv3uaBJz4WE2-z7--m0QELJuqD-Bkya4nZXwQ
careerjet,,5b9f83693fe8ce1c5df287f032393cb52e09756c8db6058389b02c495f456e0c,Junior HRBP (FMCG),Michael Page,Riyadh,,,https://jobviewtrack.com/v2/dTlYAW8_PV6ZPM-4vVH49JDkwCVrVpNRBkBdOEWHVDTnT01wud1A_M7m7gA4gPr5dw8l2t6LBve7IAHh_oTQNozs7TgSGqDPM1f7JnOW8RQcQ0ncOUEhVyXhEJmc3xzVoh1mglFUmxRRo0oIrzyuadhFZn3HjfmcWPj_IDhogAdJqkuE1xbwYgiPNPHCIsBJ-yP63Zk7y74ks002aK_5eA
careerjet,,7cab498bebebc8170dd012228a6ac83e315264ef581f9b83c09a9239c314d6c5,Eastern & Central Safety & Security Operations Director,Saudi Telecom,Riyadh,,,https://jobviewtrack.com/v2/zwLbfZRAMq2YbT7gSw15nl2o6SXQyYDYxiV1lMHp15pDt8B_t9qNxzat8SQwYzDtDSoEZ0CHfP-TTNtvMxq0W3AKdXbXJK_kZH9SSXr8HwkVFWbU-_t-8f9TxyAry-6mMKCoceSpjCA7y-D4nJaQqTwaQerPOcIjB0JN8UVGwa3iBVFEHWsoaz3b7eoAMb6mlqzVYKnENLgQN3_UUAr6xQ
careerjet,,4eab29ee5271676e9cd157cce7b9699ab34b2cb6d39b19c1ccf8503be8760a27,"Principal Specialist, Scheduling/Planning",KBR,Al Khubar,Ash Sharqiyah,,https://jobviewtrack.com/v2/iVR0m0lgznu-DnO0cOOsOuDyUFzUm8gcezTMSrGi46ngMPo1obDn9KzWsCn9CyezR0vofr5cFnwHIxr-3PHCo2vz24nwLkMe9kYduQbFvx-h02Tq1ASmBHD8kOK4DsRhIFcO8SMqkpayghZGE6SrSixKc3l1FLnbjMFMMTPYqeee2u9HM3ZftCmtT0bqoOh-JDKoRZlA-rAO4tlzbhcgZA
careerjet,,77fbc07e1f90f88a62a0e3c3955c0e78a275b2104c7da13dda36dfe38967348a,Director - Consumer Revenue Assurance,Saudi Telecom,Riyadh,,,https://jobviewtrack.com/v2/7QIYW8whY8dRae29uBNQZaznhJCuzTkYNkjMgMxhFsuuD7qfwsiAI3r7gaI_iF6ejIeSL0JoY3s3H1MI8-vPG8btmpPLwRunDl0Pc3JQG5u03tY0pY_G3ypplsRFXYMbwQLGxtyq0IkSoylQ5AXyMZ8OWj49q8Bk3ySLzftGT5xfvz_stIVLrxipYqo1YqEo2XyHNlF-OEe8_8dQf-UBfA
